id,name,checkin date,checkout date,status,age,country code,gender
74b29dff-6b73-407c-81e1-e0ff2b39fa3e,Tannaz Calleja,1580831724,1614657366,R,19,ES,F
f000d1e3-1b29-45ab-8c8f-bfb445dd718c,Tannaz Hong,1620609683,1634533094,S,74,CA,F
ca5aaeab-4906-4ef4-bdd9-620eb3327b6b,Daniel Lee,1616463855,1619005875,D,25,MX,M
83db9f39-9f57-41d6-a1aa-fd3c46356faf,Varun Rabia,1591225901,1591728827,D,14,DE,O
06304a20-457e-41c8-b965-5c6aaa50f24c,Bram Ho,1606230934,1623316632,R,12,NG,M
1a340f03-226a-4532-bd62-d83044eca689,Phat Cardoza,1605785684,1610407967,R,8,EN,O
2e79e6de-9fc9-44e3-a474-bd8d81753987,Matthew Rothman,1582643176,1636420872,S,37,FR,M
af9a9248-fe44-4baa-9716-d6b3e6b6f0c7,Sumin Vuong,1608407573,1615143201,S,25,MX,O
ef4da8d3-e9b9-4955-a533-32359607877c,Phat Anvari,1581529165,1632238571,D,73,CN,F
96003a40-e791-4c4e-b80f-5dd295a7e623,Karen Nandakumar,1630124379,1636178388,R,34,DE,F
cd2eff03-d3cc-42e1-9c1a-a60a12ace45b,Matthew Tu,1581023255,1625605372,D,11,NG,M
c08471dc-ea20-4906-85e0-ecfc464317d9,Andrew Ayyappan,1586666335,1590195306,S,10,DE,O
ace8d812-1e49-4959-8053-d3329d5d6445,Phat Say,1584179431,1634879227,D,70,MX,F
a60c6615-b3b7-4d66-9b39-5a2108798bc7,Tran Say,1628423252,1630506612,S,55,MX,M
21b29659-b044-4e93-a134-3e8ffd353842,Joseph Tran,1603350520,1604276123,S,30,MX,O
32fe4f25-03a1-4b15-bcbd-90717cef7e8f,Abel Reich,1578922959,1604532317,R,60,CA,M
485b7048-caa2-4242-b896-45f8584c2748,Chanakarn Nandakumar,1589569569,1632650923,S,27,DE,F
bc7be6ca-7755-4aab-b96e-f2469b4f87ba,Justin Oskuie,1621249371,1636645498,S,35,EN,O
92b34050-e127-4df5-853e-6b1a9d67fe16,Joash Boonmuen,1585896541,1632094533,R,62,EN,M
afc0b52c-84de-4dda-8330-4aaa01933573,Bradley Vinh,1612205512,1623737642,R,9,DE,M
c43bfe2f-81ec-4fb1-b7de-51224070310b,Steven Vuong,1636582991,1636612121,S,48,DE,O
5ba2b2f6-6864-4742-be51-581a5eb9fc52,Daniel Ho,1627409207,1632342234,S,7,CA,O
02b30053-d5f1-48b1-b474-5db379adf480,Joash Reich,1582047658,1640696896,S,51,CA,M
0a82834f-37ba-414c-9824-48ffae9e476d,Allen Seno,1611366976,1614639540,R,52,ES,M
5f733b54-bde9-4bc2-b754-3f5bb64cbb8f,Eileen Lian,1586989936,1596817921,D,8,ES,O
0a8bdb0e-de50-4358-8f72-49304e5e638e,Karthik Kim,1604634553,1631852311,D,63,CA,O
dc563543-f51e-4180-a3f6-6c17a982bea6,Daniel Taylor,1593614856,1603248340,S,10,DE,M
bb697b0d-02e5-41df-af3b-9e900ca0bba6,Eileen David,1590553027,1639886628,D,48,IN,F
b4a375cb-32fc-4242-9b5c-1078e6b6f663,Sarina Karki,1586111693,1611415334,D,36,CA,O
e66cca3c-b3e5-44ee-97f6-ce8daa166d3a,Runze Tran,1583661765,1620890110,S,13,MX,M
9d01de37-4311-4e18-a6b6-56cd560c5017,Chanakarn Avila,1588896068,1623145256,R,34,NG,O
5e39761a-67d5-4481-9bd1-b0be47a4610f,Kyu Beom Avila,1578431468,1639379316,R,27,MX,O
14e7fe74-27c8-482d-8774-d8a6b70ea7ca,Kyu Beom Seno,1580193257,1599216178,S,23,CA,O
8b5a9e54-0ec5-463d-a8df-092add5663eb,Joseph Chung,1607758656,1622886465,R,7,MX,M
f6d36358-164a-45b9-ac3e-ba942d69cfa1,Swikar Rabia,1586278593,1602421322,S,59,CN,O
8f85fb32-af83-42c9-b42d-a86060c27770,Randy Adhikari,1610131584,1623229087,R,12,CN,O
8a5b9173-5a97-4f35-b0fa-258a97152cc5,Kyu Beom Boonmuen,1622243084,1627949777,R,72,US,F
724cf6b1-5394-44cc-b746-11cbebd50898,Seokyoung Pham,1598269738,1608162085,S,77,ES,F
fe3da7ba-8a3c-4786-9153-b0363f7d2129,Ryan Reich,1594834064,1623800412,D,68,DE,O
d94896fb-8003-418d-9efa-79b9ba5051eb,Runze Pham,1589412871,1598000159,R,19,US,O
d867324c-2a84-4437-8a85-74198466b34f,Shreeya Anvari,1590569551,1618539290,D,37,IN,O
a4a2efc7-e6bf-4fd0-a797-19c67c6a97d8,Andrew Lian,1578840079,1636600055,D,68,NG,M
19834427-83e9-4c20-919f-0121221aad22,Noah Chung,1604961452,1619168534,R,24,DE,M
adb1bc66-c93e-442a-ba2d-8c33b5d50cb9,Kevin Adhikari,1620372303,1640027899,D,40,FR,M
44ac32b0-4516-4c1a-a97e-bb016e1f133f,Phat Singh,1584982646,1634521176,D,21,ES,F
6b363bc7-369b-45bb-85cc-95eee584401d,Runze Bar-Niv,1580839303,1580949355,D,30,CA,M
42c43924-2d91-4a90-a6a8-70a47e335085,Swikar He,1615230412,1619103218,R,69,DE,F
62870549-8e71-4d95-bae7-1e278e8a8522,Steven Reich,1587067282,1590532410,D,55,NG,F
b50ce7ca-f369-45df-b48a-eec8fc5c9331,Phat Avila,1581028426,1610074087,D,66,CA,O
6bb02d6b-4de5-4274-9c6c-52fd3c711d1b,Christian Ayyappan,1610221617,1624135090,D,20,MX,M
2b6efa6b-c9d9-4c3b-9cf5-9b67b01b48fe,Silvia Lian,1598396426,1638698455,S,52,CN,F
14e246ae-5ef9-47dc-a377-e93ad0d350c1,Shreeya Huynh,1632626691,1633451391,S,65,NG,O
a06dbf08-46c6-4d64-92f4-29a8352fc540,Ryan Karki,1630899384,1636669155,D,5,FR,O
5cc4d515-c864-4341-a639-745e29732b35,Tran Huynh,1578447901,1608668931,R,51,FR,M
868ce2dc-94ab-4627-8765-41e2f145cf97,Nigel Pham,1582454553,1618972771,D,43,MX,M
da254fbb-2a1b-4be4-b18d-d0a965b34f67,Giovany Anvari,1579371353,1629722545,R,38,CA,F
d8114990-feab-4b7c-b122-69825359d7f8,Bram Bar-Niv,1581831689,1640067989,D,72,EN,M
24fd139b-e59e-45ce-8f7b-338f054edd5c,Swikar Singh,1621511203,1623794518,S,80,ES,F
2de7d5ea-77ce-4e2a-97ed-3dda7d74e88a,Qiancheng Say,1601199213,1610258314,S,23,IN,F
34dfbcc3-6432-41cc-bbb7-846b82e2df82,Daniel Adhikari,1602482093,1620290345,S,58,CA,M
c651eba9-3d30-401d-8799-cce3eee5457c,Hebai Singh,1582791642,1584479711,S,8,CN,F
1651cd0c-1618-4a88-bd7f-e096a7c60edd,Sarina Kim,1592094507,1620379159,D,14,US,F
b75e20e2-46dd-4bc1-b902-ceeb914fc590,Tannaz Darshani,1613332454,1625787366,R,41,MX,O
2d6d3a5f-8224-4f83-ae70-c95f5add06b9,Joash David,1586062083,1628489105,D,23,MX,M
1b360027-dbf5-45fa-b2de-88e14742b73d,Seokyoung Ho,1592089689,1635143435,S,35,IN,O
bc490d01-9184-4046-9ffe-94c2ea43e224,Chanakarn Bar-Niv,1592606956,1625741286,R,25,FR,F
6c2a501d-1a64-459a-bb21-0c75920eb53c,Isha Campos,1579966283,1583185402,S,47,EN,F
7220b2bd-1343-461a-835d-f130cbf204e0,Sumin Vinh,1593705429,1626455232,S,48,EN,F
52973ffc-f78b-4b6c-a6b1-bb89a8e55f29,Allen Chun,1599092036,1603800100,S,43,ES,O
